delivery_id,distance_km,package_weight_kg,vehicle_type,traffic_level,weather_condition,driver_experience_years,delivery_hour,delivery_time_minutes,delay_status,delayed,is_peak_hour,heavy_package,distance_category,driver_experience_level
DLV1,7.0,17,Bike,High,Stormy,4,15,85.0,1,0,0,0,Medium,Intermediate
DLV2,20.0,14,Truck,Medium,Rainy,9,8,88.5,1,0,1,0,Medium,Experienced
DLV3,29.0,9,Bike,High,Rainy,3,16,123.5,1,1,1,0,Long,Intermediate
DLV4,15.0,14,Van,High,Foggy,7,16,108.5,1,1,1,0,Medium,Experienced
DLV5,11.0,1,Bike,Medium,Clear,8,18,49.0,0,0,1,0,Medium,Experienced
DLV6,8.0,19,Truck,,Foggy,6,12,83.0,1,0,0,0,Medium,Experienced
DLV7,29.0,13,Van,High,Foggy,6,22,119.0,1,1,0,0,Long,Experienced
DLV8,21.0,13,Bike,High,Rainy,4,7,119.0,1,1,1,0,Long,Intermediate
DLV9,7.0,4,Bike,Low,Clear,3,17,46.5,0,0,1,0,Medium,Intermediate
DLV10,26.0,1,Van,Medium,Stormy,9,15,94.5,1,1,0,0,Long,Experienced
DLV11,19.0,17,Van,Medium,Rainy,0,16,104.0,1,1,1,0,Medium,Beginner
DLV12,23.0,8,Bike,Medium,Stormy,9,21,91.5,1,1,0,0,Long,Experienced
DLV13,11.0,2,Truck,Low,Stormy,9,22,47.5,0,0,0,0,Medium,Experienced
DLV14,11.0,8,Bike,Low,Clear,6,8,55.0,0,0,1,0,Medium,Experienced
DLV15,24.0,7,Van,Medium,Foggy,0,21,93.0,1,1,0,0,Long,Beginner
DLV16,21.0,2,Bike,Low,Clear,0,11,63.0,0,0,0,0,Long,Beginner
DLV17,4.0,3,Van,Medium,Stormy,4,17,73.0,1,0,1,0,Short,Intermediate
DLV18,8.0,18,Van,Low,Rainy,8,16,66.0,0,0,1,0,Medium,Experienced
DLV19,24.0,12,Truck,High,Stormy,5,20,121.5,1,1,0,0,Long,Intermediate
DLV20,3.0,1,Van,High,Rainy,2,20,49.0,0,0,0,0,Short,Intermediate
DLV21,22.0,12,Van,Medium,,2,21,84.0,1,0,0,0,Long,Intermediate
DLV22,21.0,5,Truck,Low,Clear,6,15,52.0,0,0,0,0,Long,Experienced
DLV23,2.0,17,Van,Low,Stormy,5,17,65.5,0,0,1,0,Short,Intermediate
DLV24,24.0,16,Truck,High,Foggy,8,18,118.0,1,1,1,0,Long,Experienced
DLV25,12.0,15,Truck,High,Stormy,5,9,91.5,1,1,1,0,Medium,Intermediate
DLV26,30.0,15,Van,Low,Stormy,4,12,113.0,1,1,0,0,Long,Intermediate
DLV27,6.0,5,Van,Low,Foggy,9,7,45.5,0,0,1,0,Medium,Experienced
DLV28,2.0,14,Bike,Low,Clear,6,20,19.0,0,0,0,0,Short,Experienced
DLV29,28.0,2,Truck,Low,Stormy,0,13,93.0,1,1,0,0,Long,Beginner
DLV30,21.0,11,Bike,Low,Stormy,6,12,79.0,1,0,0,0,Long,Experienced
DLV31,1.0,19,Van,Low,Rainy,2,20,45.0,0,0,0,0,Short,Intermediate
DLV32,12.0,7,Bike,Medium,Stormy,8,19,66.0,0,0,0,0,Medium,Experienced
DLV33,26.0,6,Truck,Low,Foggy,5,13,85.5,1,0,0,0,Long,Intermediate
DLV34,22.0,2,Bike,High,Rainy,8,17,94.0,1,1,1,0,Long,Experienced
DLV35,29.0,6,Truck,Medium,Clear,4,18,99.0,1,1,1,0,Long,Intermediate
DLV36,12.0,18,Van,Low,Rainy,6,16,77.0,1,0,1,0,Medium,Experienced
DLV37,25.0,2,Van,High,Foggy,3,22,99.5,1,1,0,0,Long,Intermediate
DLV38,17.0,18,Truck,Medium,Foggy,6,22,85.0,1,0,0,0,Medium,Experienced
DLV39,27.0,15,Van,High,Rainy,0,9,117.0,1,1,1,0,Long,Beginner
DLV40,27.0,19,Van,Low,Clear,6,13,77.0,1,0,0,0,Long,Experienced
DLV41,10.0,2,Van,Low,Rainy,7,10,35.5,0,0,0,0,Medium,Experienced
DLV42,28.0,20,Van,Low,Clear,4,21,85.0,1,0,0,0,Long,Intermediate
DLV43,28.0,6,Truck,Low,Rainy,1,9,86.5,1,0,1,0,Long,Beginner
DLV44,16.0,1,Bike,Medium,Foggy,4,20,65.0,0,0,0,0,Medium,Intermediate
DLV45,15.0,15,Bike,Medium,Stormy,5,17,104.5,1,1,1,0,Medium,Intermediate
DLV46,30.0,10,Van,High,Stormy,1,10,133.5,1,1,0,0,Long,Beginner
DLV47,30.0,19,Bike,Low,Clear,5,21,81.5,1,0,0,0,Long,Intermediate
DLV48,15.0,17,Bike,High,Clear,5,19,74.5,1,0,0,0,Medium,Intermediate
DLV49,30.0,5,Van,Medium,Clear,0,15,93.0,1,1,0,0,Long,Beginner
DLV50,19.0,4,Van,Low,Foggy,0,12,76.0,1,0,0,0,Medium,Beginner
DLV51,,10,Bike,Low,Rainy,10,18,59.0,0,0,1,0,Long,Experienced
DLV52,23.0,17,Truck,Medium,Foggy,9,10,93.5,1,1,0,0,Long,Experienced
DLV53,20.0,10,Van,Medium,Stormy,2,8,114.0,1,1,1,0,Medium,Intermediate
DLV54,25.0,17,Truck,Medium,Clear,9,20,79.5,1,0,0,0,Long,Experienced
DLV55,3.0,20,Bike,Medium,Rainy,9,9,47.5,0,0,1,0,Short,Experienced
DLV56,5.0,5,Van,Medium,Stormy,2,20,60.0,0,0,0,0,Short,Intermediate
DLV57,19.0,2,Truck,Low,Stormy,3,19,76.5,1,0,0,0,Medium,Intermediate
